OBJECTID,name,introduction,difficulty,bikingTime,hasAlerts,introductionThumbnail,mountainBikingTrackWebPage,dateLoadedToGIS,Shape__Length
119514,Coromandel Walkway and mountain bike track,Walk or mountain bike between Fletcher Bay and Stony Bay. ,Expert,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/cafec332a24042c7be62da53fc153dd0.jpg,https://www.doc.govt.nz/link/5d94a8f938154fd1ad508475ac07af4d.aspx,12/2/2025 8:40:49 AM,16526.4249284554
119515,Cloudy Peak Track,"The Cloudy Peak Track from its 1526 m high point, provides fantastic views of the Upper Clutha plains and peaks of the Lindis and St Bathans ranges.",Advanced,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/80eee2b6d2cd441787e7b2daeab84aca.aspx,https://www.doc.govt.nz/link/bfcec559bfd8481884c912eb561c3f85.aspx,12/2/2025 8:40:49 AM,7228.87691621154
119516,Christchurch to Little River Rail Trail,The whole 46 km-long walkway and cycleway runs from Hornby in Christchurch to Little River on Banks Peninsula. The Motukārara to Little River section described here covers 20 km.,Easiest,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/807c481aee95461a99dfdcf33ea5e63d.jpg,https://www.doc.govt.nz/link/c68bd6a5a00d4242940e21acec0afa20.aspx,12/2/2025 8:40:48 AM,22095.0236904602
119517,Butterfields Wetland Walk,"Situated near the Hāwea River Swing Bridge this small loop track around the Butterfields Wildlife Management Area is suitable for biking, running and walking. ",Easy,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/8a8e7df42db742a8bbcc1a8152660195.jpg,https://www.doc.govt.nz/link/f0d1b69acfb445c2a764290f4547ca52.aspx,12/2/2025 8:40:48 AM,1100.99407221504
119518,Burtton's Track,Burtton's Track (Scotts Road to Mangahao Road) lies between Palmerston North and Shannon. This track is part of Te Araroa Trail.,Expert,4 - 6 hours,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/d85aba6e6b054d93acac57613d818276.aspx,https://www.doc.govt.nz/link/f73f8cf3e0ee4526ba6f454fc2b4dfad.aspx,12/2/2025 8:40:48 AM,13153.4274224194
119519,Braemar Road to Landslip Creek,A public access easement leads to Landslip Creek above Lake Pukaki. ,Easy,2 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/d536e0003dd04ea89f9e45f8d52da917.aspx,https://www.doc.govt.nz/link/51c0cd2f73b448028639665f60d320d4.aspx,12/2/2025 8:40:48 AM,15835.9745462276
119520,Bob’s Cove Track and Nature Walk,"This short walk passes through native bush to reach a stunning cove on Lake Wakatipu, with an optional climb to Picnic Point – it's a great option for kids.",Easy,10 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/5ff160e8740d4672a3b6b3fc457aae58.aspx,https://www.doc.govt.nz/link/b5c9e0480f104685ad16cf7a9ea04047.aspx,12/2/2025 8:40:48 AM,6633.84065932666
119521,Bannockburn Sluicings,This vanished landscape is New Zealand’s own wild west: The Bannockburn Sluicings are the scarred landscapes of a short-lived goldmining era. ,Intermediate,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/4ed29cf9a46e4741ba11259a02e90a0b.aspx,https://www.doc.govt.nz/link/7a1ebd3a6daf42ef9a4f5094d695b230.aspx,12/2/2025 8:40:48 AM,3424.53952418834
119522,Atleys Track,You can see many historic gold mining features from Atleys Track and there are superb views from the summit of Mt Dewar.,Intermediate,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/66b9534269334403b6975c0382dcd786.jpg,https://www.doc.govt.nz/link/33d533b8ea714274bba20597ebe5fac5.aspx,12/2/2025 8:40:48 AM,3531.87151541482
119523,Poulter River Track,"Poulter River Track is the only mountain biking track in Arthur’s Pass National Park. It has great scenery, some challenges and a good hut for an overnight stay.","Easy, Intermediate",2-4 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/b6c60a323e8c43cf9ccaf4b830171108.aspx,https://www.doc.govt.nz/link/751bbf7409fb48658568a0557b7363e1.aspx,12/2/2025 8:40:47 AM,20431.2880104798
119524,Archer Track,This walking and mountain biking track passes through native and pine forest from Penzance Bay to Elaine Bay.,"Easy, Intermediate, Advanced",,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/554583e8f9c445a0938fee32764137d6.jpg,https://www.doc.govt.nz/link/0cc3f8440f864ed8a6fec41394f0cd75.aspx,12/2/2025 8:40:47 AM,7757.58087182295
119525,Aratiatia Rapids Lookout Walk,Several times a day the gates at the Aratiatia dam are opened to release the full flow of the river - a spectacular sight from the lookout points. Stay safe and keep clear of the rapids at all times.,,45 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/03e0f7e1517f470e83d2e826f26832b6.jpg,https://www.doc.govt.nz/link/5a3f05c0d3584e6f81b8773d11017135.aspx,12/2/2025 8:40:47 AM,559.782709185833
119526,Aorere Goldfields Track,"Aorere Goldfields Track is a 3-hour loop, which gives you access to explore some of the more accessible gold-mining remnants.",Intermediate,3-4 hours ,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/f1ea0caf95344d1391400d10bb761de2.jpg,https://www.doc.govt.nz/link/c94b10d728904dbcbe638770e89c8fa2.aspx,12/2/2025 8:40:47 AM,5487.00064468164
119527,Ahuriri Valley Track,This track follows the Ahuriri River. Three huts on route provide several options.,Intermediate,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/981e1fce972c45e0973eb1832ba8ff49.jpg,https://www.doc.govt.nz/link/12da3f7d7ce2433f86595d7cd0d74d9a.aspx,12/2/2025 8:40:42 AM,16481.6046630187
119528,Glenroy Water Race Track,"The track follows the historic Welshmen’s Water Race through several creeks, then steadily climbs to Ben Cruachan with good views of Lake Wakatipu, the Basin and Nevis Bluff. ",Intermediate,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/ba4f68f3cd2544749ab65c44f75560bf.jpg,https://www.doc.govt.nz/link/35ecf558d5aa4a69b7f33c6e5c7a7eff.aspx,12/2/2025 8:40:50 AM,4895.49078281628
